Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Διεύθυνση,Εναλλακτικό Φαξ
ΑΚΤΗ ΑΙΟΛΟΣ,"


5 Χλμ
",4,info@aeolosbeach.com,22420-26781,22420-26780,Κως,853 00,www.aeolosbeach.com,22420-26789,2242026781,ΛΑΜΠΗ ΚΩ,2242026780
ΑΚΤΗ ΑΛΕΞΑΝΔΡΑ,"


0.8 Χλμ
",3,alexbeach@kos.forthnet.gr,22420-27791,22420-20984,Κως,853 00,www.alexandra-beach.gr,22420-27792,22420-27791,ΑΓ.ΓΑΒΡΙΗΛ,22420-20984
ΑΚΤΗ ΑΛΦΑ,"


25 Χλμ
",4,info@alfabeach.gr,22410-56320,22410-56354,Κολύμπια,851 03,www.alfabeach.gr,,,ΚΟΛΥΜΠΙΑ ΑΦΑΝΤΟΥ ΡΟΔΟΥ,
ΑΚΤΗ ΑΜΑΡΥΛΛΙΣ,"


5 Χλμ
",3,info@amaryllisparos.gr,22840-41410,22840-41600,Δρυός,844 00,www.amaryllisparos.gr,22840-41696,2284-041410,ΔΡΥΟΣ ΠΑΡΟΥ,2284-041600
ΑΚΤΗ ΑΠΟΛΛΩΝ,"


0.6 Χλμ
",4,fotis@apollobeach.gr,22410-85513,22410-85823,Φαληράκι,851 05,www.apollobeach.gr,,2241-085513,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-085823
ΑΚΤΗ ΑΡΤΕΜΙΣ,"


0.15 Χλμ
",2,artemhtl@otenet.gr,22860-31198,22860-32248,Καμάρι,847 00,www.artemis-santorini.com/gr,22860-31798,2286-031159,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-032248
ΑΚΤΗ ΑΥΡΑ,"


6 Χλμ
",4,info@avrabeach.gr,22410-96284,22410-94453,Ιαλυσός,851 01,www.avrabeach.gr,90150,,ΛΕΩΦ.ΗΡΑΚΛΕΙΔΩΝ Τ.Θ 375,
ΑΚΤΗ ΒΥΖΑΝΤΙΟ,"


6 Χλμ
",2,beach@byzantiohotels-tinos.gr,22830-22405,22830-22422,Τριαντάρος,842 00,www.byzantiohotels-tinos.gr,22830-22409,2283-022421,ΛΙΒΑΔΙ ΣΚΥΛΑΝΤΑΡΙ ΤΡΙΑΝΤΑΡΟΥ ΤΗΝΟΥ,2283-022422
ΑΚΤΗ ΔΕΛΦΙΝΙΟΥ,"


7 Χλμ
",4,info@dolphin-bay.gr,22810-42924,22810-42843,Γαλησσάς,841 00,www.dolphin-bay.gr,,21-03211134,ΓΑΛΗΣΣΑΣ ΣΥΡΟΥ,21-03211134
ΑΚΤΗ ΕΛ ΒΙΤΑ,,2,info@hotelelvita.com,22440-44329,,Λάρδος,851 09,www.hotelelvita.com,22440-44395,,,
ΑΚΤΗ ΕΛΙΑΣ,,4,info@eliamykonos.gr,2289071204,22890-72090,Μύκονος,846 00,www.eliamykonos.gr,,,,
ΑΚΤΗ ΕΡΙΣΤΟΣ,"


2.5 Χλμ
",3,eristosbeachhotel@gmail.com,22460-44025,22460-44317,Μεγάλο Χωριό,850 02,www.eristosbeachhotel.gr,,,ΕΡΙΣΤΟΣ,
ΑΚΤΗ ΖΟΡΜΠΑΣ,"


8 Χλμ
",4,info@zorbasbeach.gr,22420-49410,22420-49416,Τιγκάκι,853 00,www.zorbasbeach.gr,22420-49413,,ΤΙΓΚΑΚΙ ΚΩΣ,
ΑΚΤΗ ΗΛΕΚΤΡΑ,"


0.3 Χλμ
",3,info@electrabeachhotel.gr,22450-22577,22450-22212,Κάρπαθος,857 00,www.electrabeachhotel.gr,023256/8,2245-022474,ΚΑΡΠΑΘΟΣ,
ΑΚΤΗ ΗΛΙΟΥ,,2,,22450-22297,,Κάρπαθος,857 00,,,,ΚΑΡΠΑΘΟΣ,
ΑΚΤΗ ΗΛΙΟΥ ΛΙΝΔΟΣ,"


1 Χλμ
",3,sunbeachlindos@gmail.com,22440-44600,22440-44694,Λάρδος,851 09,WWW.SUNBEACHLINDOS.GR,,6958746122,,
ΑΚΤΗ ΗΡΙΝΝΑ,"


2.5 Χλμ
",3,irinahotelkos@gmail.com,22420-69850,22420-49524,Τιγκάκι,853 00,www.irinabeachhotel.com,,6972-706718,ΤΑΧ.ΘΥΡΙΔΑ 6165,
ΑΚΤΗ ΙΜΠΕΡΙΑΛ ΜΠΙΤΣ ΡΕΣΟΡΤ,"


4 Χλμ
",5,manageraktiimperial.rhodos@gmail.com,2241111500,,Ιαλυσός,851 01,,,,Λ.ΤΡΙΑΝΤΩΝ,
ΑΚΤΗ ΙΟΥ,,2,,22860-91983,,Ίος,840 01,,22860-91984,,ΚΑΜΠΟΣ ΙΟΥ,
ΑΚΤΗ ΙΡΙΑΣ,"


5 Χλμ
",4,info@iriabeach-naxos.com,22850-42600/1,22850-42603,Αγία Αννα,843 00,www.iriabeach-naxos.com,,2285-023330,ΑΓΙΑ ΑΝΝΑ ΝΑΞΟΣ,2285-023419
ΑΚΤΗ ΚΑΜΑΡΙ,"


0.4 Χλμ
",2,info@kamaribeach.gr,22860-31216,22860-32120,Καμάρι,847 00,www.kamaribeach.gr,22890-31243,,ΚΑΜΑΡΙ ΘΗΡΑΣ,
ΑΚΤΗ ΚΑΜΑΡΙ,"


2 Χλμ
",4,info@kamaribeach.com,22440-44244,22440-44092,Λάρδος,851 09,www.kamaribeach.com,44144,,ΠΑΡΑΛ.ΛΑΡΔΟΥ-ΡΟΔΟΣ,
ΑΚΤΗ ΚΑΝΤΟΥΝΙ,"


4 Χλμ
",2,info@kantounibeachhotel.com,22430-47980,22430-47549,Κάλυμνος,852 00,www.kantounibeach.gr,22430-47982,6942-502710,ΚΑΝΤΟΥΝΙ,2243-047549
ΑΚΤΗ ΚΑΡΔΑ,"


1.5 Χλμ
",5,reservations.kos@mikripoli.gr,22420-91221/3,22420-91930,Καρδάμαινα,853 02,www.cardabeachhotel.gr,,22420-92411,ΚΑΡΔΑΜΑΙΝΑ ΚΩ,22420-91930
ΑΚΤΗ ΚΟΚΚΑΛΑΚΗ,"


0.15 Χλμ
",2,hotelkokalakis@yahoo.gr,22420-71496,22420-71466,Καμάρι,853 01,,,6974-730140,,
ΑΚΤΗ ΚΟΚΚΙΝΑ,"


1.5 Χλμ
",3,hotelkokkinabeach@yahoo.gr,22810-43010,22810-43563,Φοίνικας,841 00,www.kokkina-beach.com,22810-43557,2281-087646,,2281-043563
ΑΚΤΗ ΚΟΛΥΜΠΙΩΝ,"


6 Χλμ
",4,manager@kolymbia-beach.gr,22410-56247,22410-56203,Κολύμπια,851 03,www.kolymbia-beach.gr,22410-56225,2241-056247,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-056203
ΑΚΤΗ ΚΟΝΤΑΡΑΤΟΥ,"


0.8 Χλμ
",4,reservations@contaratosbeach.gr,22840-51693,22840-51740,Νάουσα,844 01,www.contaratosbeach.gr,,2104913530,ΝΑΟΥΣΑ ΠΑΡΟΥ,2104913530
ΑΚΤΗ ΚΟΝΤΙΑ,"


0.8 Χλμ
",2,kontia1@otenet.gr,22420-22663,22420-25408,Κως,853 00,,22420-23183,6945-721553,ΕΛ.ΒΕΝΙΖΕΛΟΥ 2,2242-025408
ΑΚΤΗ ΚΟΣΤΑ ΛΙΝΔΙΑ,,5,montemar@otenet.gr,2244-44036,,Λάρδος,851 09,www.costalindia.gr,,,ΛΟΘΙΑΡΙΚΑ ΛΑΡΔΟΥ ΡΟΔΟΥ,
ΑΚΤΗ ΛΑΓΚΑΔΑ,"


4 Χλμ
",2,info@lagadabeach.gr,22870-23415,22870-23416,Αδάμαντας,848 01,www.lagadabeach.gr,22870-23411,210-4174780,ΑΔΑΜΑΣ ΜΗΛΟΥ,210-4172076
ΑΚΤΗ ΛΟΥΤΑΝΙΑ,"


8 Χλμ
",4,michail.bakiris@gmail.com,22410-56295,22410-56441,Κολύμπια,851 03,http://www.lutaniabeach.gr/,,2241-056295,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-056441
ΑΚΤΗ ΛΥΜΙΑΤΗΣ,"


0.5 Χλμ
",3,lymhotel@otenet.gr,22450-22726,22450-22760,Κάρπαθος,857 00,http://lymhotel.weebly.com/,22450-23390,2245-022726,ΠΟΣΕΙΔΩΝΟΣ & ΑΝΩΝΥΜΟΥ,2245-022760
ΑΚΤΗ ΜΑΛΤΕΖΑΝΑ,"


9 Χλμ
",3,info@maltezanabeach.gr,2243061558,2243061669,Αστυπάλαια,85900,www.maltezanabeach.gr,2107713301,2107713301,ΑΝΑΛΗΨΗ,2107713321
ΑΚΤΗ ΜΑΡΜΑΡΙ,"


15 Χλμ
",3,manager_marmari_beach@atlanticahotels.com,22420-41002,22420-41056,Μαρμάρι,853 00,www.atlanticahotels.com,22420-41219,2242-041219,ΜΑΡΜΑΡΙ ΚΩΣ,2242-041056
ΑΚΤΗ ΜΑΣΟΥΡΙ,"


0.5 Χλμ
",4,massouribeach@yahoo.com,22430-47555,,Κάλυμνος,852 00,,22430-47177,2243-047555,ΜΑΣΟΥΡΙ ΚΑΛΥΜΝΟΥ,
ΑΚΤΗ ΜΑΣΤΙΧΑΡΙ,"


5 Χλμ
",2,,22420-59252,22420-59240,Μαστιχάρι,853 02,,2242058802,2242-059252,ΜΑΣΤΙΧΑΡΙ ΚΩΣ,2242-059240
ΑΚΤΗ ΜΑΤΟΥΛΑ,"


1.5 Χλμ
",4,matoulabeach@gmail.com,22410-94251,22410-91966,Ιαλυσός,851 01,www.matoulabeach.gr,,2241-094251,ΠΟΣΕΙΔΩΝΟΣ,2241-091966
ΑΚΤΗ ΜΕΝΗ,,4,info@moremeni.gr,22420-69217,22420-69181,Τιγκάκι,853 00,www.moremeni.gr,22420-69181,,,
ΑΚΤΗ ΜΥΚΟΝΟΥ,"


1.5 Χλμ
",3,info@mykonosbeach.gr,22890-22572,22890-24524,Μύκονος,846 00,www.mykonosbeach.gr,22890-22573,,ΜΕΓΑΛΗ ΑΜΜΟΣ-ΜΥΚΟΝΟΣ,
ΑΚΤΗ ΜΥΡΙΝΑ,"


5 Χλμ
",4,gm@myrinabeach.eu,22410-56254,22410-56357,Κολύμπια,851 03,www.myrinabeach.gr,,,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,
ΑΚΤΗ ΝΑΞΟΥ,"


0.5 Χλμ
",2,naxosbeachhotel@gmail.com,22850-22928,22850-24805,Νάξος,843 00,www.naxosbeachhotel.com,,22850-20867,ΝΑΞΟΣ,22850-24197
ΑΚΤΗ ΝΗΡΗΙΔΕΣ,"


2 Χλμ
",3,niriideshotel@gmail.com,22420-23919,22420-23380,Κως,853 00,www.niriides-hotel.com,,6944-602148,ΑΓ.ΦΩΚΑΣ - ΚΩΣ,2242-023380
ΑΚΤΗ ΝΗΡΗΙΔΕΣ,"


5 Χλμ
",4,niriideshotel@rho.forthnet.gr,22410-56210,22410-56461,Κολύμπια,851 03,www.niriidesbeach-hotel.com,22410 56449,2241056210,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241056461
ΑΚΤΗ ΝΙΡΒΑΝΑ,"


2 Χλμ
",3,nirvana_rhodes@yahoo.gr,22410-82427,22410-81770,Θεολόγος,851 06,www.nirvanabeach-hotel.com,,2241-082125,ΘΕΟΛΟΓΟΣ ΡΟΔΟΥ,2241-081770
ΑΚΤΗ ΝΟΤΟΥΣ 1,"


78 Χλμ
",5,quality_mlrho@atlanticahotels.com,2244041000,,Πλημμύρι,85109,www.aktinotushotel.com,,2241067071,,
ΑΚΤΗ ΝΟΤΟΥΣ 2,"


75 Χλμ
",5,hotel_manager_mlrho@atlanticahotels.com,2244041000,2244042610,Κατταβία,85109,www.aktinotusresort.com,,2241249850,ΠΛΗΜΜΥΡΙ ΚΑΤΑΒΙΑ,
ΑΚΤΗ ΝΤΙΜΗΣ,"


9 Χλμ
",2,info@aktidimishotel.gr,22420-69092,22420-68211,Τιγκάκι,853 00,www.aktidimishotel.gr,22420-68210,2242-069092,ΤΙΓΚΑΚΙ ΚΩ,2242-068211
ΑΚΤΗ ΝΤΟΡΕΤΑ,"


18 Χλμ
",4,doreta@otenet.gr,22410-82540,22410-82446,Ρόδος,851 06,www.doreta-beach.com,22410-82545,2241-082540,ΘΟΛΟΣ,2241-082446
ΑΚΤΗ ΠΑΛΛΑΣ,,5,aktimail@otenet.gr,22420-92316,,Καρδάμαινα,853 00,,,,ΠΕΔΙΑΣ ΤΘ 60,
ΑΚΤΗ ΠΕΔΙ,"


5 Χλμ
",3,info@pedibeachhotel.gr,22460-71981,22460-71982,Σύμη,856 00,www.pedibeachhotel.gr,22460-71870,,ΣΥΜΗ,
ΑΚΤΗ ΠΗΓΑΣΟΣ,"


3 Χλμ
",4,diakomichalisa@pegasoshotel.gr,22410-85103,22410-85767,Φαληράκι,851 05,www.pegasoshotel.gr,,2241-085896,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,2241-085767
ΑΚΤΗ ΠΟΣΕΙΔΩΝ,"


18 Χλμ
",5,neptunehotels@neptune.gr,22420 58900,22420 41574,Μαστιχάρι,853 02,www.neptune.gr,22420 41480,22420-58918,ΜΑΣΤΙΧΑΡΙ ΚΩ,22420-42117
ΑΚΤΗ ΡΑΜΙΡΑ,"


3 Χλμ
",5,ramira.info@mitsishotels.com,22420-22891,22420-28489,Κως,853 00,www.mitsishotels.com,22420-22894,2242-022891,ΨΑΛΙΔΙ ΚΩ,
ΑΚΤΗ ΡΟΥΣΣΟΣ,"


0.5 Χλμ
",3,rkbeach@kamaritours.gr,22860-31590,,Καμάρι,847 00,,,2286-031390,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-031619
ΑΚΤΗ ΣΕΙΡΗΝΩΝ,"


2 Χλμ
",4,info@sirenehotel.gr,22410-30650,22410-26531,Κρητικά,851 00,www.sirenehotel.gr,,2241-034592,ΚΡΗΤΙΚΑ ΡΟΔΟΥ,2241-026531
ΑΚΤΗ ΣΟΦΙΑ,,4,INFO@AEGEANBLU.COM,+306932630577,,Κως,853 00,www.aegeanblu.com,,+306932630577,ΟΛΥΜΠΙΑΣ,
ΑΚΤΗ ΤΙΓΚΑΚΙ,"


10 Χλμ
",4,tigaki@otenet.gr,22420-69446/7,22420-69309,Κως,853 00,www.tigakibeach-kos.com,,2242-069446-7,ΚΩΣ,2242-069309
ΑΚΤΗ ΦΟΙΝΙΚΩΝ,"


1 Χλμ
",2,info@palmbeach.gr,22420-21771,22420-22673,Κως,853 00,https://palmbeach.gr/,22420-21773,,ΨΑΛΙΔΙ,2242-022673
ΑΚΤΗ ΦΟΡΟΥΜ,"


7 Χλμ
",5,sales@forumhotels.com,22410-96601,22410-96655,Ιαλυσός,851 01,www.forumhotels.com,22410-96605,,ΙΑΛΥΣΟΣ ΡΟΔΟΥ,
ΑΛΕΑ,"


5 Χλμ
",2,alea@aleahotel.gr,22410-91626,22410-98453,Ιαλυσός,851 01,www.aleahotel.gr,,22410-47813,ΙΕΡΟΥ ΛΟΧΟΥ 25,22410-98453
ΑΛΕΑ ΜΑΡΕ,"


7 Χλμ
",3,info@aleamarehotel.com,22470-24612,,Αγία Μαρίνα,854 00,www.aleamarehotel.com,22470-24611,2247-022834,ΑΛΙΝΤΑ ΛΕΡΟΥ,2247-024612
ΑΛΕΚΟΣ,"


1 Χλμ
",1,giorgosmargaras@yahoo.gr,22890-23753,,Μύκονος,846 00,,,2289-023753,,
ΑΛΕΞ,"


1 Χλμ
",4,alex11@otenet.gr,22890-23030,22890-23193,Μύκονος,846 00,www.hotelalexmykonos.com,023193,2289-023030,{ΚΑΛΑΔΑ},2289-023193
ΑΛΕΞ,"


1 Χλμ
",2,hotelalex@yahoo.com,22450-22004,22450-23896,Κάρπαθος,857 00,www.alexhotel.gr,,22450-22004,ΠΗΓΑΔΙΑ,
ΑΛΕΞ-ΜΑΪΚ,,2,alexmike@hotmail.gr,2285044068,,Αγία Αννα,84300,,,,,
ΑΛΕΞΑΝΔΡΑ,"


0.4 Χλμ
",4,alexhotel@kos.forthnet.gr,2242028301,22420-28304,Κως,853 00,www.alexandrahotels.com,22420-28302,2242028301,25ΗΣ ΜΑΡΤΙΟΥ 16,2242-028304
ΑΛΕΞΑΝΔΡΑ,"


9 Χλμ
",2,info@hotelalexandra.gr,6984198469,22810-42610,Μέγας Γιαλός-Βάρης,841 00,www.hotelalexandra.gr,,2281042540,ΜΕΓΑΣ ΓΥΑΛΟΣ,2281042610
ΑΛΕΞΑΝΔΡΑ,,1,,22410-95339,,Ιαλυσός,851 01,,,,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ 45,
ΑΛΕΞΑΝΔΡΑ,,2,vailasgeorge@hotmail.com,2286031681,,Καμάρι,847 00,,,,,
ΑΛΕΞΑΝΔΡΟΣ,,3,,22410-20023,,Ρόδος,851 00,,22410-34196,,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ 21,
ΑΛΕΞΑΝΔΡΟΣ,"


5 Χλμ
",2,alexandroshotel@hotmail.com,22470-31790,22470-31532,Πάτμος,855 00,www.alexandroshotel.com,22470-31820,21-06742729,ΓΡΟΙΚΟΣ ΠΑΤΜΟΥ,
ΑΛΕΞΑΝΔΡΟΣ ΑΚΤΗ ΣΙΦΝΟΥ ΜΠΑΝΚΑΛΟΟΥΣ,"


8 Χλμ
",3,alhotel@otenet.gr,22840-71333,22840-71303,Πλατύς Γιαλός,840 03,www.hotelalexandros.gr,22840-71300,21-06847581,ΠΛΑΤΥΣ ΓΙΑΛΟΣ ΣΙΦΝΟΥ,
ΑΛΕΞΑΝΔΡΟΣ ΒΙΛΛΑΣ,"


2 Χλμ
",3,info@alexander-villas.com,22860-24848,22860-23693,Ημεροβίγλι,847 00,www.alexander-villas.com,6944-360937,21-05541391,ΗΜΕΡΟΒΙΓΛΙ ΘΗΡΑΣ,21-05540501
ΑΛΕΞΙΑ ΠΡΕΜΙΕΡ ΣΙΤΙ,"


0.5 Χλμ
",4,nsoulouniasae@yahoo.gr,22410-24061,22410-24065,Ρόδος,851 00,www.alexia-hotel.com,,2241-029496,ΟΡΦΑΝΙΔΟΥ 54,2241-024065
ΑΛΘΕΑ ΑΜΜΟΟΠΗ,,3,info@altheakarpathos.com,2245081152,,Κάρπαθος,857 00,www.altheakarpathos.com,6977694632,,ΑΜΜΟΟΠΗ,
ΑΛΙΑ,"


4 Χλμ
",3,,22410-31410,,Ιαλυσός,851 01,,,,ΙΞΙΑ ΡΟΔΟΥ,
ΑΛΙΚΗ,"


0.8 Χλμ
",4,info@hotelaliki.gr,22460-71665,22460-71655,Σύμη,856 00,www.hotelaliki.gr,,6972-696514,ΑΚΤΗ ΓΕΝΝΗΜΑΤΑ,2241-071655
ΑΛΙΛΑ ΡΗΖΟΡΤ,,5,maria.kordila@mitsishotels.com,2241085360,2241085365,Φαληράκι,85105,www.mitisishotels.com,,,,
ΑΛΙΜΟΥΝΤΑ ΜΑΡΕ,,5,accounts@alimounda.gr,22450-23007,,Κάρπαθος,857 00,www.alimounda.gr,22450-23902,,ΑΦΩΤΗ,
ΑΛΙΝΤΑ,"


5 Χλμ
",2,anastasiahotelalinda@gmail.com,22470-23266,,Αγία Μαρίνα,854 00,www.alindahotel-leros.gr,,,ΑΛΙΝΤΑ ΛΕΡΟΥ,
ΑΛΙΣ ΣΠΡΙΝΓΚΣ,"


0.9 Χλμ
",2,elias@alicespringshotel.com,22420-23473,22420-24848,Κως,853 00,www.alicespringshotel.com,,6945753496,ΛΑΜΠΗ ΚΩΣ,
ΑΛΙΣΑΧΝΗ ΠΑΡΑΛΙΑ,"


0.2 Χλμ
",2,info@alesahne.gr,22860-32222,22860-31998,Καμάρι,847 00,www.alesahne.gr,22860-32223,2286-023222,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-031998
ΑΛΚ,"


4 Χλμ
",2,info@alkhotel.gr,22840-33209,22840-33211,Καμάρες,840 03,www.alkhotel.gr,22840-33210,22840-33209,Τ.Θ 703,22840-33211
ΑΛΚΗΣΤΙΣ,"


2 Χλμ
",3,info@alkistismykonos.gr,22890-22332,22890-23241,Άγιος Στέφανος,846 00,www.alkistismykonos.gr,,21-03839475,ΑΓ.ΣΤΕΦΑΝΟΣ-ΜΥΚΟΝΟΥ,21-03839478
ΑΛΚΜΗΝΗ,"


20 Χλμ
",3,hotel_alkmini_rhodes@hotmail.com,22410-42300,22410-42302,Θεολόγος,851 06,,22410-42301,,ΘΕΟΛΟΓΟΣ ΡΟΔΟΥ,
ΑΛΚΥΟΝΗ,"


2 Χλμ
",3,konstmin@gmail.com,22450-61266,22450-61070,Φοινίκι,857 00,www.alkioni-karpathos.gr,22450-61070,,ΦΟΙΝΙΚΗ ΚΑΡΠΑΘΟΥ,
ΑΛΚΥΟΝΗ ΑΚΤΗ,"


1 Χλμ
",4,info@alkyonibeachhotel.gr,22850-26136,22850-23499,Νάξος,843 00,www.alkyonibeachhotel.gr,22850-25987,21-07790165,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ,21-07474415
ΑΛΚΥΟΝΙΔΕΣ,,1,,22410-95845,,Κρεμαστή,851 04,,,,ΝΗΡΗΙΔΩΝ 62,
ΑΛΚΥΩΝ,"


0.6 Χλμ
",3,info@pyrgakihotel.gr,22840-21506,22840-24986,Πάρος,844 00,,22840-23124,,ΠΑΡΟΙΚΙΑ ΠΑΡΟΥ,
ΑΛΚΥΩΝ,"


1.5 Χλμ
",2,despinaxatzh@yahoo.com,22420-23739,,Κως,853 00,,,6977-792294,ΑΣΚΛΗΠΙΟΥ 17,
ΑΛΚΥΩΝ,"


0.7 Χλμ
",2,alkyon-h@otenet.gr,22860-31295,22860-32629,Καμάρι,847 00,,,2286-032201,ΚΑΜΑΡΙ ΘΗΡΑΣ,2286-032629
ΑΛΚΥΩΝ,"


9 Χλμ
",2,alkyonsy@otenet.gr,22810-61761,22810-61000,Μέγας Γιαλός-Βάρης,841 00,www.alkyonsyros.gr,22810-61000,,ΜΕΓΑΣ ΓΙΑΛΟΣ ΣΥΡΟΥ,
ΑΛΚΥΩΝ,,4,reservations@alkyonmykonos.gr,22890-27366,22890-23496,Μύκονος,846 00,http://www.alkyonmykonos.gr/,22890-27367,,,
ΑΛΛΕΓΚΡΟ,"


7 Χλμ
",3,,22410-56286,22410-92681,Κολύμπια,851 03,,,2241-056411,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,
ΑΛΛΗΓΟΡΙΑ,,4,info@allegoryhotel.com,2241026861,,Ρόδος,85100,,,,ΑΝΤΙΦΑΝΟΥΣ 11,
ΑΛΜΑ,"


1 Χλμ
",2,beachboy1@kos.forthnet.gr,22420-91365,22420-92274,Καρδάμαινα,853 02,,,2242-091545,ΙΠΠΟΚΡΑΤΟΥΣ 32,2242-091545
ΑΛΜΠΑΤΡΟΣ,"


1 Χλμ
",4,info@albatroshotel-santorini.com,22860-23435,22860-23431,Καρτεράδος,847 00,www.hotel-albatros.gr,,,ΚΑΡΤΕΡΑΔΟΣ ΘΗΡΑΣ,
ΑΛΜΠΑΤΡΟΣ,"


6 Χλμ
",1,hotelalbatro@gmail.com,22810-51148,,Σέριφος,840 05,www.hotelalbatross.gr,,,,
ΑΛΜΠΑΤΡΟΣ,"


0.05 Χλμ
",2,albatroshotelsymi@gmail.com,22460-71707,,Σύμη,856 00,,,,ΣΥΜΗ,
ΑΛΜΠΑΤΡΟΣ,"


17 Χλμ
",3,info@albatross.gr,22840-41157,22840-41940,Μάρπησσα,844 00,www.albatross.gr,22840-42435,21-02582204,ΛΟΓΑΡΑΣ ΠΑΡΟΥ,21-02527315
ΑΛΜΠΑΤΡΟΣ,"


6 Χλμ
",3,hotelalbatrosamopi@gmail.com,22450-81045,22450-81047,Μενέτες,857 00,www.hotelalbatrosamoopi.gr,,21-08053871,ΑΜΜΟΟΠΗ ΜΕΝΕΤΩΝ ΚΑΡΠΑΘΟΥ,21-08063422
ΑΛΜΠΑΤΡΟΣ ΚΛΑΜΠ,,3,info@albatrosclubmykonos.com,22890-27230,22890-25361,Μύκονος,846 00,www.albatrosclubmykonos.com,,,ΠΑΝΟΡΜΟΣ,
ΑΛΜΥΡΑ ΧΩΡΙΟ,"


1.2 Χλμ
",4,info@almyravillage.gr,6937057006,22450-29070,Κάρπαθος,857 00,www.almyravillage.gr,2245029075,6937057006,ΣΤΕΙΡΑΚΕΣ-ΠΗΓΑΔΙΑ ΚΑΡΠΑΘΟΥ,2245029070
ΑΛΟΗ,,4,,000-0000000,,Φαληράκι,851 05,,,,ΦΑΛΗΡΑΚΙ ΡΟΔΟΥ,
ΑΛΣ,"


1 Χλμ
",2,info@alshotel.gr,22410-22481,22410-21939,Ρόδος,851 00,www.alshotel.gr,22410-22482,2241-022481,ΠΛΑΤΕΙΑ ΓΑΒΡΙΗΛ ΧΑΡΙΤΟΥ 10,2241-021939
ΑΛΤΑΝΑ,"


1.5 Χλμ
",4,info@altana.gr,22860-23240,22860-25129,Ημεροβίγλι,847 00,www.altana.gr,22860-23204,21-08010879,Τ.Θ. 716,21-08017454
ΑΛΤΑΝΑ,"


3 Χλμ
",3,info@altanahotel.gr,22830-25102,22830-25103,Τήνος,842 00,www.altanahotel.gr,6932-724253,,ΧΩΡΑ ΤΗΝΟΥ,
ΑΛΦΑ,"


7 Χλμ
",3,alfabhot@otenet.gr,22410-56411,22410-56354,Κολύμπια,851 03,,22410-56412,2241-056320,ΚΟΛΥΜΠΙΑ ΡΟΔΟΥ,2241-056354
ΑΛΦΑ,"


50 Χλμ
",2,alphastudios.cars@yahoo.com,22450-51280,,Διαφάνι,857 00,www.alphastudios-karpathos.gr,,6974-428866,ΔΙΑΦΑΝΙ ΚΑΡΠΑΘΟΥ,
ΑΛΩΝΙ,"


17 Χλμ
",2,info@aloniparos.com,22840-43237,22840-43238,Πίσω Λιβάδι,844 00,www.aloniparos.com,22840-43240,210-9931388,ΠΙΣΩ ΛΕΙΒΑΔΙ ΠΑΡΟΥ,2284043237
ΑΜΑΖΩΝ ΜΥΚΟΝΟΣ,,3,kassavetis@kassavetis.net,6944523055,,Μύκονος,84600,,,,,
ΑΜΑΛΙΑ,"


17 Χλμ
",2,amalia.apts@gmail.com,22440-61365,22410-67134,Απολακκιά,851 09,http://amaliaapartments.eu/,,22410-63828,,
ΑΜΑΡΥΛΛΙΣ,"


0.1 Χλμ
",2,info@amaryllis.gr,22410-24522,22410-36635,Ρόδος,851 00,www.amaryllis.gr,22410-36635,6973-872834,ΜΑΝΔΗΛΑΡΑ 44,
ΑΜΑΡΥΛΛΙΣ,"


0.35 Χλμ
",2,info@amarylis.gr,22450-22375,22450-22375,Κάρπαθος,857 00,www.amarylis.gr,,,ΚΑΡΠΑΘΟΣ,
ΑΜΑΡΥΛΛΙΣ,"


2 Χλμ
",3,aquariusperissa@yahoo.gr,22860-81682,22860-81847,Πέρισσα,847 00,www.amaryllis-hotel.com,22860-81173,2286-081682,,2286-081847
ΑΜΕΡΙΚΑΝΑ,"


0.5 Χλμ
",2,staboulidisgeorge@yahoo.gr,22420-22947,22420-25917,Κως,853 00,www.americana-kos.com,,2242-023558,ΚΑΡΑΙΣΚΑΚΗ 14,
ΑΜΙΛΙΑ ΜΑΡΕ,"


6 Χλμ
",5,ampv_acc1@atlanticahotels.com,22410-66060,22410-66066,Κοσκινού,851 00,,22410-54520,2241-066060,{ΡΕΝΙ},2241-066066
ΑΜΜΟΣ,"


3 Χλμ
",4,info@ammosresort.com,22420-59314,22420-59317,Μαστιχάρι,853 02,www.ammosresort.gr,22420-59325,6947689323,ΜΑΣΤΙΧΑΡΙ ΚΩ,
