Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΚΥΑΝΗ ΑΚΤΗ,,2,,26950-22287,,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51034,
ΚΥΒΕΡΝΗΤΗΣ,"


4 Χλμ
",3,info@commodorehotel.gr,2695026162,2695-042779,26950-45505,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.commodorehotel.gr,,
ΚΥΜΑ,"


0.25 Χλμ
",1,,26740-22064,,26710-28102,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΗΝΙΑΣ,280 80,,,
ΚΩΝΣΤΑΝΤΙΝΑ,,2,info@zanteplaza.com,26950-52419,,26950-52513,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.zanteplaza.com,,
ΚΩΝΣΤΑΝΤΙΝΟΣ,"


15 Χλμ
",3,akispot@otenet.gr,26950-83060,2695-083061,26950-83062,Καταστάρι,ΑΛΥΚΕΣ ΖΑΚΥΝΘΟΥ,290 90,www.zakynthos.com.gr/konstantin,26950-83061,
ΚΩΝΣΤΑΝΤΙΝΟΣ,,2,kostas@konstantinoshotel.gr,26450-29206,,26450-29207,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.konstantinoshotel.gr,,
ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΙΣ,"


1.5 Χλμ
",2,info@konstantinoupolis.gr,2661048716,,2661080716,Κέρκυρα,Κ.ΖΑΒΙΤΣΙΑΝΟΥ 11,491 00,www.konstantinoupolis.gr,2661048717,
ΚΩΣΤΑ ΡΟΣΣΑ,,4,info@costarossa.gr,2671093850,,2671029510,Αργοστόλι,,28200,costarossa.gr,,
ΛΑ ΓΚΡΟΤΤΑ,"


24.95 Χλμ
",3,lagrottazante@gmail.com,26950-31224,2695026290,26950-31505,Βολίμες,ΑΓ.ΝΙΚΟΛΑΟΣ,290 91,www.lagrottazante.com,26950-26290,2695026290
ΛΑ ΣΙΤΕ – Η ΠΟΛΗ,"


0.5 Χλμ
",2,lacite1@otenet.gr,26710-92701,2671-091214,26710-92702,Ληξούρι,ΛΗΞΟΥΡΙ ΚΕΦΑΛΛΗΝΙΑΣ,282 00,www.lacitehotellixouri.gr,26710-92243,
ΛΑΓΟΥΝΑΡΗΣ ΜΠΗΤΣ,,2,d_lagounaris@yahoo.gr,26950-83956,,,Καταστάρι,,290 90,,,
ΛΑΖΑΡΑΤΟΣ,"


4 Χλμ
",2,info@lazaratoshotel.gr,2671093242,6937398403,26710-93235,Ληξούρι,ΒΑΡΙΚΟ ΛΗΞΟΥΡΙΟΥ ΚΕΦΑΛΛΗΝΙΑΣ,282 00,www.lazaratoshotel.gr,,
ΛΑΜΠΕΡΟΣ ΗΛΙΟΣ,"


0.2 Χλμ
",2,,000-0000000,,,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,,
ΛΑΡΑ,"


18 Χλμ
",2,info@lara.gr,26710-31157,21-08063743,26710-31156,Λουρδάτα,ΛΟΥΡΔΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,www.lara.gr,26710-31191,21-08063743
ΛΑΣΣΗ,"


1.5 Χλμ
",3,reservations@lassihotel.gr,26710-23126,6944-375104,26710-23416,Αργοστόλι,,281 00,www.lassihotel.gr,26710-23415,2671-023416
ΛΕ ΜΙΡΑΖ,"


0.1 Χλμ
",2,lemiragehotel.corfu@gmail.com,26610-72027,6945-426092,26610-72027,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,www.lemiragehotel.gr,,
ΛΕΒΑΝΤ,"


12 Χλμ
",3,levant@otenet.gr,26610-94230,2661-094230,26610-94115,Πέλεκας,ΠΕΛΕΚΑΣ ΚΕΡΚΥΡΑΣ,491 00,www.levant-hotel.com,26610-94335,2661-094115
ΛΕΒΑΝΤΕ ΚΛΑΣΙΚ ΜΠΙΤΣ ΧΟΤΕΛ,"


4 Χλμ
",3,info@levanteclassic.gr,2695043105,21-09221576,,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,http://www.levanteclassic.gr/,,21-09221576
ΛΕΙΒΑΔΙ ΝΑΥΣΙΚΑΣ,"


3 Χλμ
",3,nafsika@eleabeach.com,26610-93276,2661-093496,26610-93174,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.eleabeach.com,097111/2,2661-093494
ΛΕΙΒΑΘΩ ΜΠΕΫ,,4,info@leivathohotel.gr,6948239401,2106220577,,Αργοστόλι,,28083,www.leivathohotel.gr,2671041998,
ΛΕΜΟΝΟΔΑΣΟΣ,"


3 Χλμ
",1,lemongrove@cld.gr,26620-61039,,26620-61396,Κάβος,,490 80,,,
ΛΕΝΑ ΜΑΡΕ,"


0.8 Χλμ
",3,lenamarehotel@gmail.com,26630-63713,2671-024250,26630-63715,Αχαράβη,,491 00,www.lenamare.com,26630-63714,2671-029043
ΛΕΝΙΑ,"


17 Χλμ
",2,,26450-99125,6972-222889,,Καλαμίτσι,,310 80,,,
ΛΕΣΑΝΤΕ ΜΠΛΟΥ ΕΞΚΛΟΥΣΙΒ ΜΠΙΤΣ ΡΙΖΟΡΤ,,5,accounts@lesante.gr,2695061600,2695061800,,Τραγάκι,,29100,,,
ΛΕΣΧΗ ΠΑΞΩΝ,"


1 Χλμ
",4,info@paxosclub.gr,26620-32450,21-03420310,26620-32097,Μακράτικα,ΜΑΚΡΑΤΙΚΑ ΠΑΞΩΝ,490 82,www.paxosclub.gr,26620-32453,21-03420381
ΛΕΤΣΟΣ,"


2 Χλμ
",3,letsos7@hotmail.com,26950-83760,6979-914138,26950-83870,Αλικανάς,ΑΛΙΚΑΝΑΣ ΖΑΚΥΝΘΟΥ,291 00,www.letsos-hotel.com,2695083778,
ΛΕΥΚΑΔΑ ΜΠΗΤΣ,"


3 Χλμ
",3,lefkadabeachhotel@gmail.com,26450-72215,21-09916626,2645072216,Λυγιά,ΛΥΓΙΑ ΛΕΥΚΑΔΑΣ,311 00,http://lefkadabeach.com,,21-09936387
ΛΕΥΚΑΣ,"


0.5 Χλμ
",3,info@hotellefkas.gr,2645023916,,26450-24579,Λευκάδα,ΠΑΝΑΓΟΥ 2,311 00,www.hotellefkas.gr,,2645-024579
ΛΕΥΚΗ ΕΛΙΑ,"


0.2 Χλμ
",2,,26950-52939,,,Λαγανάς,,290 92,,,
ΛΕΥΚΗ ΕΛΙΑ ΕΛΙΤ ΛΑΓΑΝΑΣ,"


8 Χλμ
",5,aggeliki.visvardi@whiteolivehotels.com,2695052939,2695-044012,26950-51794,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,https://whiteolivehotels.com/white-olive-elite-laganas/,26950-51796,21-06928425
ΛΕΥΚΗ ΕΛΙΑ ΠΡΙΜΙΟΥΜ,,4,contact@whiteolivehotels.com,2695052939,,,Λαγανάς,,29092,https://whiteolivehotels.com,,
ΛΕΥΚΗ ΕΛΙΑ ΠΡΙΜΙΟΥΜ 2,,2,marcin.stolarski@whiteolivehotels.com,2695052939,,,Λαγανάς,,29092,,,
ΛΕΥΚΙΜΜΗ,"


3 Χλμ
",2,lefkimihotel@gmail.com,26620-61187,2662-061187,26620-61780,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚΥΡΑΣ,490 80,,,
ΛΕΥΚΟ,"


0.22 Χλμ
",2,info@hotel-lefko.gr,6937420075,2645-092252,26450-93070,Νυδρί,ΝΥΔΡΙ ΛΕΥΚΑΔΑΣ,311 00,www.hotel-lefko.gr,,
ΛΗΚΥΘΟΣ,,3,,26680-52936,,,Άγιος Γεώργιος Αργυράδων,,490 80,,,
ΛΙΑΠΑΔΕΣ ΜΠΗΤΣ 2,"


3 Χλμ
",1,info@liapadesbeachhotel.gr,26630-41115,2663-041294,26630-41294,Λιαπάδες,ΛΙΑΠΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 83,www.liapadesbeachhotel.gr,26630-41294,
ΛΙΑΠΑΔΕΣ ΜΠΗΤΣ Ι,,2,info@liapadesbeachhotel.gr,26630-41370,26630-41294,26630-41294,Λιαπάδες,ΛΙΑΠΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 83,www.liapadesbeachhotel.gr,26630-41115,
ΛΙΘΑΚΙΑ ΓΚΑΡΝΤΕΝΣ,,3,lithakia@otenet.gr,2695052348,,,Λιθακιά,,29092,,,
ΛΙΘΑΚΙΑ ΜΠΗΤΣ,"


2 Χλμ
",1,lithakia@otenet.gr,26950-52348,,26950-55092,Λιθακιά,ΑΓ.ΣΩΣΤΗΣ,290 92,,,
ΛΙΘΙΕΣ,"


25 Χλμ
",2,lithieshotel@gmail.com,26950-31154,6955-191850,26950-31154,Βολίμες,ΒΟΛΙΜΕΣ ΖΑΚΥΝΘΟΥ,290 90,www.lithies.gr,6955191850,2112-133582
ΛΙΜΝΟΘΑΛΑΣΣΑ,"


5 Χλμ
",2,corfustam@gmail.com,26630-99161,6944-688474,26630-99163,Σιδάρι,Τ.Θ. 118,490 81,,26630-99164,
ΛΙΡΗΣ,,2,info@studiosliriszante.com,000-0000000,,,Λαγανάς,ΛΑΓΑΝΑΣ,290 92,www.studiosliriszante.com,,
ΛΟΓΚΑΝ’Σ ΜΠΗΤΣ ΧΟΤΕΛ,"


13 Χλμ
",2,logans@otenet.gr,26450-92692,2645-022981,26450-92074,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΟΣ,311 00,www.logansbeach.gr,6972300880,2645-092074
ΛΟΚΑΝΤΑ,"


0.1 Χλμ
",4,svvitsos@gmail.com,26950-45563,2695-048030,26950-23769,Αργάσι,Δ.ΡΩΜΑ 60,291 00,www.locanda.gr,26950-45564,2695-023769
ΛΟΞΙΔΕΣ,"


1 Χλμ
",2,e_center@otenet.gr,26630-99331,2661-081710,26630-99343,Σιδάρι,,490 81,,,2661-030530
ΛΟΡΕΝΤΖΟ,"


1.5 Χλμ
",2,info@lorenzohotel.gr,26710-22771,2671-022771,26710-25170,Αργοστόλι,ΛΑΣΣΗ ΚΕΦΑΛΛΟΝΙΑΣ,281 00,www.lorenzohotel.gr,,2671-025170
ΛΟΥΒΡΕ,"


6 Χλμ
",2,louvre@eleabeach.com,26610-91506,2661-093496,26610-91979,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,,26610-91978,2661-093494
ΛΟΥΗΣ ΙΟΝΙΑΝ ΣΑΝ,"


15 Χλμ
",4,ioniansun@louishotels.com,26610-71211,2661-072122,26610-71219,Μπενίτσες,ΤΣΑΚΙ ΜΠΕΝΙΤΣΩΝ ΚΕΡΚΥΡΑΣ,490 84,www.louishotels.com,2661072646,2661-071218
ΛΟΥΗΣ ΚΟΡΚΥΡΑ ΜΠΗΤΣ,"


9 Χλμ
",4,corcyra@louishotels.com,26610-90196/8,2661-090196/8,26610-91591,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.louishotels.com,,2661-091591
ΛΟΥΙΖΑ,"


0.5 Χλμ
",2,,26740-72571,2671-02668123286,26710-26185,Πόρος,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,,,2674-072507
ΛΟΥΙΖΑ,,2,info@luisahotel.gr,2663095266,,,Περουλάδες,ΠΕΡΟΥΛΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,luisahotel.gr,,
ΛΟΥΙΣ ΓΚΡΑΝΤ ΟΤΕΛ ΓΛΥΦΑΔΑ ΚΟΡΦΟΥ,"


12 Χλμ
",4,grand@louishotels.com,26610-94140/5,2661-094280,26610-94146,Γλυφάδα,ΓΛΥΦΑΔΑ ΚΕΡΚΥΡΑ,491 00,www.louishotels.com,2661094280,2661-094146
ΛΟΥΙΣ ΖΑΝΤΕ ΜΠΗΤΣ,"


6 Χλμ
",4,zantebeach@louishotels.com,26950-51130,2695-051130,26950-51135,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.louishotels.com,,2695-051135
ΛΟΥΚΑΣ,"


0.15 Χλμ
",2,,26710-23965,2671-023991,,Αργοστόλι,ΛΑΣΣΗΣ 56,281 00,,26710-23967,2671-023966
ΛΟΥΛΑΣ ΒΙΛΑΤΖ,"


1.5 Χλμ
",3,loulas-v@otenet.gr,26610-75668,6947810044,2661075668,Ψαράς,ΨΑΡΑΣ ΧΛΩΜΟΥ ΚΕΡΚΥΡΑΣ,490 82,,26610 75025,2661075668
ΛΟΥΡΟΣ ΑΚΤΗ,"


6 Χλμ
",4,info@louroshotelspa.gr,26950-23025,261-0331302,26950-45876,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.louroshotelspa.gr,,261-0331346
ΛΟΥΤΡΟΥΒΙΑ,,2,hotelloutrouvia@gmail.com,26610-72392,,26610-72398,Μπενίτσες,ΜΠΕΝΙΤΣΕΣ ΚΕΡΚΥΡΑΣ,490 84,,,
ΛΟΦΟΣ,"


0.2 Χλμ
",2,info@lofoskassiopi.com,26630-81187,,26630-81188,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,490 83,www.lofoskassiopi.com,,
ΛΟΦΟΣ,,5,lesante@lesante.gr,26950-41329,,,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.lesante.gr,,
ΛΟΦΟΣ ΒΙΚΤΩΡΙΑ,"


4 Χλμ
",3,info@victoria-hill-hotel-corfu.com,26610-97200,2661034776,,Κάτω Κορακιάνα,ΔΑΣΙΑ,490 83,https://www.victoria-hill-hotel-corfu.com/,26610-80212,
ΛΟΦΟΣ ΣΤΡΑΝΗ,"


0.5 Χλμ
",2,hotel-lofos-strani@hotmail.com,26950-27122,,26950-27123,Μποχάλη,ΣΤΑΥΡΟΣ ΜΠΟΧΑΛΗΣ ΖΑΚΥΝΘΟΥ,291 00,,,
ΛΥΓΙΕΣ,"


12 Χλμ
",2,lygies@yahoo.gr,26710-31314,,2671031366,Μουσάτα,,28100,www.lygies.com,6947274477,
ΜΑΓΙΟΡ ΛΑ ΓΚΡΟΤΤΑ ΒΕΡΝΤΕ ΓΚΡΑΝΤ ΡΗΖΟΡΤ,"


16 Χλμ
",5,lagrottaverde@mayorhotels.com,26611-80000,,26610-53157,Άγιος Γόρδιος,ΑΓ.ΓΟΡΔΙΟΣ ΚΕΡΚΥΡΑΣ,490 84,www.mayorhotels.com,2105386460,
ΜΑΓΙΟΡ ΛΑ ΓΚΡΟΤΤΑ ΒΕΡΝΤΕ ΓΚΡΑΝΤ ΡΗΖΟΡΤ 1,,5,stavropoulos.g@mayorhotels.com,26611-80000,,26610-53157,Άγιος Γόρδιος,,49084,www.mayorhotels.com,2105386460,
ΜΑΓΙΟΡ ΜΟΝ ΡΕΠΟ ΠΑΛΑΤΙ,"


1.5 Χλμ
",4,monrepos@mayorhotels.com,2661032783,,26610-23460,Κέρκυρα,ΔΗΜΟΚΡΑΤΙΑΣ & ΙΑΣΩΝΟΣ,491 00,www.mayormonrepospalace.com/el/,2661024466,
ΜΑΓΙΟΡ ΠΕΛΕΚΑΣ ΜΟΝΑΣΤΕΡΥ,"


10 Χλμ
",5,pelekasmonastery@mayorhotels.com,26611-80600,,26610-95181,Κοντογιαλός,ΚΟΝΤΟΓΥΑΛΟΣ ΣΙΝΑΡ.ΚΕΡΚΥΡΑΣ,490 84,www.mayorhotels.com,,
ΜΑΙΡΗΛΙΝ,"


1 Χλμ
",4,info@hotelmarelen.gr,26950-26137,21-02430657,26950-26142,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.hotelmarelen.gr,26950-26140,
ΜΑΪΣΤΡΑ,"


5 Χλμ
",2,info@maistrahotel.gr,26450-71990,6947-002074,26450-71172,Λυγιά,,311 00,www.maistrahotel.gr,,
ΜΑΙΣΤΡΑΛΙ 1,"


7.5 Χλμ
",4,info@panelyiagroup.com,26950-65090,21-09617461,26950-62979,Τραγάκι,ΤΡΑΓΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.maistrali-apartments.gr,26950-65091,21-09617461
ΜΑΚΕΔΟΝΙΑ,,2,michalatos.theofilos@gmail.com,26740-72840,2674-072814,,Πόρος,,280 82,,26740-72842,
ΜΑΚΕΔΟΝΙΑ,"


1 Χλμ
",3,info@macedoniahotel.gr,26950-24590,21-05748991,26950-41564,Καλαμάκι,,291 00,www.macedoniahotel.gr,,21-05748991
ΜΑΚΗΣ,,2,info@makishotelskala.com,26710-27330,,26710-83626,Σκάλα,,280 82,www.makishotel-kefalonia.com,,
ΜΑΚΡΗΣ,"


0.5 Χλμ
",1,makris-property@otenet.gr,26630-63258,6974-160824,210-5248333,Ρόδα,ΡΟΔΑ ΣΦΑΚΕΡΩΝ ΚΕΡΚΥΡΑΣ,490 81,,,21-05248333
ΜΑΛΤΕΖΟΣ,"


7 Χλμ
",3,info@hotelmaltezos.com,26610-91667,2661-090990,26610-90271,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.hotelmaltezos.com,,
ΜΑΜΠΕΛΥ ΓΚΡΑΝΤ,"


31 Χλμ
",5,info@mabely.gr,26950-41302,210-3810150,26950-41301,Καμπίον,ΚΑΜΠΙ ΕΛΑΤΙΩΝ ΖΑΚΥΝΘΟΥ,291 00,www.mabely.com,,210-3810281
ΜΑΝΟΛΙΑ,"


16 Χλμ
",4,info@themagnoliaresort.com,26710-81320,,26710-81010,Κατελειός,ΚΑΤΩ ΚΑΤΕΛΕΙΟΣ,280 82,www.themagnoliaresort.com,26710-81683,
ΜΑΡΓΑΡΙΤΑ,"


0.3 Χλμ
",2,info@corfu-hotel-margarita.com,26610-75267,2661-075368,26610-75267,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.corfu-hotel-margarita.com,26610-75565,2661-075267
ΜΑΡΓΑΡΙΤΑ,"


0.3 Χλμ
",4,info@zantemargarita.com,2695051555,,26950-53427,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.smartlinemargarita.com,2695051556,
ΜΑΡΕΜΠΛΟΥ ΜΠΗΤΣ,"


6 Χλμ
",4,panos@rokashotels.gr,26630-98500,,26630-98180,Περίθεια,ΤΑΧ.ΘΥΡΙΔΑ 122,491 00,www.marebluecorfu.com,,
ΜΑΡΙΑ,"


0.1 Χλμ
",2,mariehotelker@yahoo.gr,26630-63108,,26630-63106,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΜΑΡΙΑ ΜΑΡΕ,"


1 Χλμ
",3,info@maria-mare.gr,2695028121,2695023167,2695026797,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.maria-mare.gr,2695023167,2695026797
ΜΑΡΙΑ ΧΑΟΥΖ,"


0.5 Χλμ
",2,reservations@messonghibeach.gr,26610-83000,21-09400580,26610-75334,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,www.messonghibeach.gr,,21-09430161
ΜΑΡΙΑ-ΑΝΝΑ,,2,hotel.maria.anna@gmail.com,26710-31171,2671-023263,26710-31473,Βλαχάτα,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 83,,,
ΜΑΡΙΕΤΤΑ,"


0.2 Χλμ
",2,marietta-hotel@hotmail.com,26710-83441,2671-027507,26710-83141,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ (ΛΑΓΚΑΔΑ),280 82,,,
ΜΑΡΙΛΕΝΑ,"


1.5 Χλμ
",3,info@marilenahotel.com,2661093981,2661093981,,Πυργί,ΠΥΡΓΙ ΚΕΡΚΥΡΑΣ,491 00,www.marilenahotel.com,2661093982,
ΜΑΡΙΝΑ,"


0.1 Χλμ
",2,info@hotelmarina.gr,26630-51100,2661046346,26630-51103,Αρίλλας,ΚΑΡΟΥΣΑΔΕΣ,490 81,www.hotelmarina.gr,26630-51101,
ΜΑΡΙΝΑ,,2,petermarkesinis@hotmail.co.uk,26950-53081,,26950-41992,Λαγανάς,,290 90,,,
ΜΑΡΙΝΟΣ,"


5 Χλμ
",2,rainbowzante@gmail.com,26950-27874,,26950-41290,Καλαμάκι,,291 00,,26950-45259,
ΜΑΡΙΝΤΑ,"


8 Χλμ
",4,,26610-52410,2661-030418,,Άγιος Ιωάννης,ΑΓΙΟΣ ΙΩΑΝΝΗΣ ΤΡΙΚΛΙΝΟΥ ΚΕΡΚΥΡΑΣ,491 00,,52407,
ΜΑΡΙΟΣ,"


9 Χλμ
",3,infohotelmarioslaganas@gmail.com,26950-26070,2695-051649,26950-52414,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-24665,2695-052414
ΜΑΡΜΠΕΛΑ ΝΙΝΤΟ,"


20 Χλμ
",5,info.nido@marbella.gr,26610-75031,,26610-75970,Άγιος Ιωάννης Περιστερών,ΑΓ.ΙΩΑΝΝΗΣ ΠΕΡΙΣΤΕΡ.ΚΕΡΚ.,490 84,www.marbellanido.gr,26610-76032,
ΜΑΣΤ,"


3 Χλμ
",2,,26950-55307,2695-055307,,Λαγανάς,,290 92,,,2695-055308
ΜΑΤΙΛΝΤΑ,"


7 Χλμ
",4,iob@matildahotel.gr,26950-35376,21-06232710,26950-35429,Βασιλικός,ΒΑΣΙΛΙΚΟ ΖΑΚΥΝΘΟΥ,291 00,www.matildahotel.gr,26950-35430,21-06230789
ΜΑΤΟΥΛΑ,,2,info@matoulacorfu.com,26630-64484,26610-41483,26610-41482,Αχαράβη,,491 00,www.matoulacorfu.com,26630-64226,
ΜΑΤΟΥΛΑ 1,,2,info@matoulacorfu.com,26630-64484,26610-41483,26610-41482,Αχαράβη,,491 00,www.matoulacorfu.com,26630-64226,
ΜΑΥΡΙΚΟΣ,"


3 Χλμ
",3,info@altura-hotel.com,26950 23110,2695023110,,Ζάκυνθος,Τ.Θ.122,291 00,www.bluecollectionresorts.com,26950-26148,2695028114
ΜΕΑΝΔΡΟΣ,"


6 Χλμ
",5,info@dianahotels.gr,26950-49063,2695-028547,26950-49065,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,dianahotels.gr,26950-49064,2695-045047
ΜΕΓΑ,"


2 Χλμ
",2,info@megahotel.gr,26610-93208,26610-26204,26610-93566,Ύψος,ΥΨΟΥΣ 237,490 83,www.megahotel.gr,26610-93954,2661-093566
ΜΕΓΑ ΑΡΗΤΗ,"


4 Χλμ
",4,info@aritihotel.com,26610-33885,2661-033885,26610-33889,Κέρκυρα,ΝΑΥΣΙΚΑΣ 40,491 00,http://aritihotel.com/,,2661-033889
ΜΕΓΑΛΟ ΧΩΡΙΟ,,3,info@bigvillage.gr,26710-83649,,,Σκάλα,,280 82,,,
ΜΕΓΑΝΗΣΙ,"


0.2 Χλμ
",3,pol123@otenet.gr,26450-51240,,26450-51639,Κατωμέρι,ΚΑΤΩΜΕΡΙ ΜΕΓΑΝ.ΛΕΥΚΑΔΟΣ,310 83,www.hotelmeganisi.gr,26450-51049,
ΜΕΓΑΡΑ,,2,hotelmegarazante@gmail.com,2695052639,2106125826,,Λιθακιά,,290 92,www.hotel-megara.gr,,
ΜΕΓΑΣ ΑΛΕΞΑΝΔΡΟΣ,"


5 Χλμ
",4,alexhtl@otenet.gr,26950-51580,6989391420,26950-29620,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,www.hotelalexander.gr,26950-51584,
ΜΕΛΙΝΑ ΜΠΕΫ,"


0.2 Χλμ
",2,info@melinabay.com,26630-81030,,,Κασσιόπη,ΚΑΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,,,
ΜΕΛΙΣΣΑΝΗ,"


0.6 Χλμ
",1,info@melissanihotel.gr,26740-22464,,26740-22464,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΗΝΙΑΣ,280 80,www.melissanihotel.gr,,
ΜΕΛΜΑΡ ΒΙΟΥ,"


5 Χλμ
",4,info@melmarviewhotel.gr,26740-41111,2671-041191,26740-41111,Μάγγανος,ΜΑΓΓΑΝΟΣ ΦΙΣΚΑΡΔΟΥ ΚΕΦ/ΝΙΑΣ,280 84,http://melmarviewhotel.gr,,
ΜΕΛΥΔΡΟΝ,"


0.3 Χλμ
",3,info@melidron.gr,26710-83306,2671-025942,26710-83376,Σκάλα,,280 82,www.melidron.gr,26710-83316,2671-025942
ΜΕΜΕΝΤΟ ΚΑΣΣΙΟΠΗ ΡΙΖΟΡΤ,"


0.3 Χλμ
",3,manager@memento-hotels.com,26630-81001,6945-584859,26630-81002,Κασσιόπη,ΚΑΜΠΟΣ ΚΟΓΙΕΒΙΝΑ ΚΑΣΣΙΟΠΗ,491 00,www.memento-hotels.com,,2661-046863
ΜΕΜΕΝΤΟ ΚΑΣΣΙΟΠΗ ΦΑΜΙΛΙ,"


0.3 Χλμ
",4,manager@memento-hotels.com,26630-81001,6945-584859,26630-81002,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,www.michelangelovillage.com,26610-35610,2661-046863
ΜΕΝΤΙΤΕΡΑΝΕ,"


2 Χλμ
",4,mediterr@otenet.gr,26710-28760,26710-28760,26710-24758,Αργοστόλι,ΛΑΣΣΗ ΚΕΦΑΛΛΗΝΝΙΑΣ,281 00,www.mediterraneehotel.gr,26710-28761,26710-24758
ΜΕΝΤΙΤΕΡΑΝΕΑΝ ΜΠΛΟΥ ΑΣΠΡΟΚΑΒΟΣ,"


0.01 Χλμ
",3,mediterraneanblue@yahoo.com,26620-61117,6974-879584,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ,490 80,,,
ΜΕΝΤΩΡ,"


0.3 Χλμ
",3,welcome@hotelmentor.gr,26740-33033,2674-032468,26740-32293,Ιθάκη,ΒΑΘΥ ΙΘΑΚΗΣ,283 00,www.hotelmentor.gr,26740-32433,2674-032293
ΜΕΡΙΝΤΙΕΝ ΜΠΗΤΣ,"


0.1 Χλμ
",3,meridienhotel@hotmail.gr,26950-25000,,26950-25005,Αργάσι,ΑΡΓΑΣΙ ΖΑΚΥΝΘΟΥ,291 00,www.meridienbeachhotel.com,,
ΜΕΤΑΞΑΣ,"


5 Χλμ
",2,metaxashotel@gmail.com,26950-27441,2695-027441,,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.metaxahotel.gr,,
ΜΙΚΕΛΑΝΤΖΕΛΟ,"


0.05 Χλμ
",2,info@memento-hotels.com,26630-81001,2661-035610,26630-81002,Κασσιόπη,ΚΑΣΣΙΩΠΗ ΚΕΡΚΥΡΑΣ,491 00,http://memento-hotels.com,26630-81003,2661-046863
ΜΙΛΤΟΝ,"


1 Χλμ
",2,reservations@hotelmilton.net,26630-64805,2661090070,26630-64805,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.hotelmilton.net,26610-90070,
