Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΑΚΤΗ ΝΑΝΑ,"


2 Χλμ
",5,www.nanagoldenbeach.gr,booking@nanagoldenbeach.gr,28970-30100,28970-22954,Λιμένας Χερσονήσου,700 14,ΛΙΜΕΝΑΣ ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛΕΙΟΥ,,2897-030100,2897-022954
ΑΚΤΗ ΝΕΚΤΑΡ,"


5 Χλμ
",2,,nekmalin@otenet.gr,28210-60661,28210-60683,Σταλός,731 00,,,2821-027382,
ΑΚΤΗ ΝΙΡΟΣ,,3,www.nirosbeach.gr,,2810-762054,2810-762183,Γούρνες,715 00,,,281-0222224,
ΑΚΤΗ ΟΔΥΣΣΕΙΑ,"


3 Χλμ
",4,www.odyssia.gr,info@odyssia.gr,28310 50020,,Ρέθυμνο,741 00,ΝΙΚΗΦΟΡ.ΜΑΝΔΗΛΑΡΑ 18,28310-55154,2831-027141,
ΑΚΤΗ ΟΛΟΥΣ,"


0.6 Χλμ
",4,www.eloundaaktiolous.gr,info@eloundaaktiolous.gr,28410-41270,28410-41425,Κάτω Ελούντα,720 53,ΕΛΟΥΝΤΑ ΛΑΣΗΘΙΟΥ,28410-41271,,
ΑΚΤΗ ΟΡΙΖΟΝΤΑΣ,"


30 Χλμ
",3,www.horizonhotelplakias.com,horhot@otenet.gr,28320-31476,28320-31154,Πλακιάς,740 60,ΠΛΑΚΙΑ ΡΕΘΥΜΝΗΣ,28320-31176,2832-031476,2832-031154
ΑΚΤΗ ΟΡΙΖΩΝ,"


1 Χλμ
",4,www.horizonbeachstalis.gr,horizonbeachstalis@gmail.com,28970-23327,28970-24660,Σταλίδα,700 14,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,,,
ΑΚΤΗ ΟΣΤΡΙΑ,"


5 Χλμ
",5,www.ostriahotel.gr,ostriahotel@ostriahotel.gr,2842025711,2842025710,Ιεράπετρα,722 00,ΙΕΡΑΠΕΤΡΑ ΛΑΣΗΘΙΟΥ,2842025714,2842025711,
ΑΚΤΗ ΠΑΛ,"


20 Χλμ
",2,www.palbeach.gr,polydoros_m@hotmail.com,6974211442,28230-41578,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,28230-41556,6974211442,2823041578
ΑΚΤΗ ΠΕΡΛΑ,"


2.5 Χλμ
",4,www.pearlbeach.gr,sales@pearlhotels.gr,28310-51513,28310-54891,Ρέθυμνο,741 00,ΑΥΣΤΡΑΛΩΝ ΠΟΛΕΜΙΣΤΩΝ 28,,2831-051513,2831-054891
ΑΚΤΗ ΠΕΤΡΑ,"


1 Χλμ
",3,www.petrabeach.gr,info@petrabeach.gr,28970-23060,28970-24650,Λιμένας Χερσονήσου,700 14,ΚΑΣΑΒΕΤΗ,,281-0222541,
ΑΚΤΗ ΠΙΛΟΤΟΣ ΘΕΡΕΤΡΟΝ,"


1 Χλμ
",5,www.pilot-beach.gr,manager@pilot-beach.gr,2825061901,28250-61119,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,6942844805,
ΑΚΤΗ ΡΙΝΕΛΛΑ,"


12 Χλμ
",5,www.mitsishotels.com,rinela.rd@mitsishotels.com,2810-761713,2810-761796,Χάνι Κοκκίνη,715 00,ΚΟΚΚΙΝΗ ΧΑΝΙ,2810-761405,281-0761757,281-0761796
ΑΚΤΗ ΣΑΝΤΥ,"


0.1 Χλμ
",2,www.sandy-beach.gr,sandy-beach@windowslive.com,6932578671,28230-42139,Παλαιοχώρα,730 01,,2823042138,2823042138,2823042139
ΑΚΤΗ ΣΕΙΡΗΝΩΝ,"


0.8 Χλμ
",4,www.sirenshotels.gr,info@sirensbeach.gr,2897035100,2897031325,Μάλια,700 07,ΜΑΛΛΙΑ-ΗΡΑΚΛΕΙΟΥ,,,
ΑΚΤΗ ΣΙΛΒΑ,,4,www.hersotels.gr,silva@hersotels.gr,28970-22850,28970-21404,Λιμένας Χερσονήσου,700 14,ΕΛ.ΒΕΝΙΖΕΛΟΥ 193,,,
ΑΚΤΗ ΣΚΑΛΕΤΑ,"


12 Χλμ
",3,www.scaleta.net,virginia@scaleta.net,28310-71702,28310-71768,Ρέθυμνο,741 00,ΣΚΑΛΕΤΑ,,2831-071702,
ΑΚΤΗ ΣΟΦΙΑ,"


1 Χλμ
",2,,sophiakbeach@hotmail.com,28210-68388,2821068388,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,2821040779,
ΑΚΤΗ ΣΟΦΙΑ,"


10 Χλμ
",2,,,28310-72047,28310-72047,Σφακάκι,741 00,,69742-71000,69742-71000,28103-14692
ΑΚΤΗ ΣΤΕΡΙΣ,"


0.7 Χλμ
",2,www.hotel.steris.gr,info@hotel.steris.gr,28310-28303,28310-20559,Ρέθυμνο,741 00,ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ 1,28310-24781,2831-028303,2831-020559
ΑΚΤΗ ΤΑΛΕΑ,,3,,info@taleabeach.gr,28340-94296/7,28340-94296,Μπαλί,740 57,ΜΠΑΛΙ ΡΕΘΥΜΝΟΥ,,,
ΑΚΤΗ ΤΖΑΝΑΚΑΚΗ ΚΡΕΤΑ ΒΙΤΑΛΙΣ,"


2 Χλμ
",3,www.cretavitalis.com,cretavital@yahoo.gr,28210-64363,28210-57476,Καλαθάς,731 00,ΚΑΛΑΘΑΣ ΑΚΡΩΤΗΡΙΟΥ ΧΑΝΙΩΝ,,2821-056466,
ΑΚΤΗ ΤΖΟ ΑΝ,"


0.5 Χλμ
",4,www.joan-hotels.gr,beach@joan-hotels.gr,28310-71487,28310-71110,Αδελιανός Κάμπος,741 00,,28310-71578,2831-024241,2831-024244
ΑΚΤΗ ΤΡΟΠΙΚΑΝΑ,,2,,,28210-68787,28210-68886,Σταλός,731 00,Κ.ΣΤΑΛΟΣ ΧΑΝΙΩΝ,28210-60155,,
ΑΚΤΗ ΤΣΑΛΟΣ,"


0.2 Χλμ
",2,www.tsalosbeach.gr,info@tsalosbeach.gr,28970-21504,28970-22940,Ανάληψη,700 14,ΑΝΑΛΗΨΗ ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛ.,28970-42217,2897-042217,2897-022940
ΑΚΤΗ ΧΡΙΣΤΙΝΑ,"


5 Χλμ
",3,www.christinabeach.gr,info@christtina-apps.gr,2821092168,28210-98184,Χανιά,731 00,ΣΕΛΙΝΟΥ 114,,6973267776,
ΑΚΤΗ ΧΡΙΣΤΙΝΑ,"


0.8 Χλμ
",2,www.christina-beach.gr,info@christina-beach.gr,28220-83333,28220-83334,Πλάκα,734 00,,,2822-022815,2822-083033
ΑΛΑΝΘΑ,"


0.2 Χλμ
",2,www.alantha.com,info@alantha.com,28410-23527,28410-82346,Άγιος Νικόλαος,721 00,ΕΡΥΘΡΟΥ ΣΤΑΥΡΟΥ 23,28410-82346,2841-023348,2841-023348
ΑΛΕΞΑΝΔΡΑ,"


20 Χλμ
",2,alexandra-hotel.gr,gouljohn@otenet.gr,28210-32055,28210-32055,Γαλατάς,731 00,ΚΑΛΑΜΑΚΙ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-98221,6945-900796,
ΑΛΕΞΑΝΔΡΟΣ,"


13 Χλμ
",1,www.alexandros-kalamaki.com,info@alexandros-kalamaki.com,28920-45195,28920-45187,Καλαμάκι,702 00,ΚΑΛΑΜΑΚΙ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,28920-45269,2892045195,2892045187
ΑΛΕΞΑΝΔΡΟΣ,,3,,,2841069860,,Σίσι,724 00,,,,
ΑΛΕΞΑΝΔΡΟΣ Μ.,"


0.2 Χλμ
",2,www.alexandros-maleme.com/index.php/el/,info@alexandros-maleme.com,2821062653,2821062678,Μάλεμε,731 00,ΜΑΛΕΜΕ ΧΑΝΙΩΝ,6944188800,,
ΑΛΕΞΑΝΤΕΡ ΑΜΕΑ,,2,http://alexanderhotelgerakari.gr,info@alexanderhotelgerakari.gr,2833051160,2833051185,Γερακάρι,74061,,,,
ΑΛΕΞΑΝΤΕΡ ΜΠΗΤΣ,"


35 Χλμ
",5,www.alexander-beach.com,info@alexander-beach.com,28970-32134,28970-31038,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,28970-32420,2897-032134,2897-031038
ΑΛΕΞΑΝΤΕΡ ΧΑΟΥΖ,"


25 Χλμ
",4,www.alexanderhouse.gr,reservations@alexanderhouse.gr,2810-811303,2810-811381,Αγία Πελαγία,715 00,ΑΓ.ΠΕΛΑΓΙΑ ΗΡΑΚΛΕΙΟΥ ΚΡ.,,281-0811545,281-0811381
ΑΛΕΞΑΝΤΕΡ ΧΟΤΕΛ ΓΕΡΑΚΑΡΙ,,3,www.alexanderhotelgerakari.gr,info@alexanderhotelgerakari.gr,28330-51160,28330-51185,Γερακάρι,740 61,ΓΕΡΑΚΑΡΙ ΡΕΘΥΜΝΟΥ,,,
ΑΛΕΞΗΣ,"


2 Χλμ
",2,www.hotelalexis.gr,reservations@hotelalexis.gr,28210-93733,28210-90526,Χανιά,731 00,ΠΑΡΗΓΟΡΙΑ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝ.,,6979151577,
ΑΛΗΘΙΝΑ ΜΑΛΙΑ,,1,,,28970-32934,,Μάλια,700 07,ΛΑΚΑ ΜΑΛΙΩΝ,,,
ΑΛΙΑ ΜΠΙΤΣ,"


0.2 Χλμ
",3,www.aliabeachhotel.gr,aliaclub@otenet.gr,28970-23146,28970-29145,Λιμένας Χερσονήσου,700 14,ΝΕΑΡΧΟΥ 20,6948541592,281-029145,2897-029145
ΑΛΙΑΝΘΟΣ,"


0.01 Χλμ
",2,www.alianthosbeach-plakias.com,info@alianthos-group.com,28320-31196,28320-31197,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΗΣ,"28320-31851,32033",6942-011620,28320-31197
ΑΛΚΙΟΝΙΔΕΣ,,2,,troulakishotel@yahoo.gr,28210-38262,,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,,,
ΑΛΚΥΟΝΙΔΕΣ,"


3 Χλμ
",3,,alkyonides@yahoo.gr,28970-31526,28970-32988,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ,28970-31654,,
ΑΛΚΥΟΝΙΣ,"


11 Χλμ
",2,www.alkionis-beach-apartment-rethymno.com,info@alkionis-beach-apartments-rethymnon.com,28310-71584,28310-71584,Σφακάκι,741 00,,,2831-071584,2831-071584
ΑΛΚΥΩΝ,"


5 Χλμ
",2,www.hotelalkion.gr,info@hotelalkion.gr,28210-68717,,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ,6974-454640,2821-068376,
ΑΛΚΥΩΝ,"


4 Χλμ
",2,,alkotel@otenet.gr,28410-24495,,Αμμουδάρα,721 00,ΑΜΜΟΥΔΑΡΑ ΑΓ. ΝΙΚΟΛΑΟΥ,28410-51479,2841-024495,2841-024497
ΑΛΚΥΩΝ,"


1 Χλμ
",3,,,28310-71136,,Πηγιανός Κάμπος,741 00,ΚΑΜΠΟΣ ΠΗΓΗΣ ΡΕΘΥΜΝΟΥ,,,
ΑΛΚΥΩΝ,"


2.5 Χλμ
",1,,maryalkion@yahoo.gr,28250-61620,28250-61737,Εξώπολη,730 07,,28250-22106,,
ΑΛΚΥΩΝ ΠΑΡΚ,"


1 Χλμ
",2,,,28310-71136,,Πηγή,741 00,ΠΗΓΙΑΝΟΣ ΚΑΜΠΟΣ,,,
ΑΛΚΥΩΝ ΠΛΑΖΑ,"


9 Χλμ
",2,,,28310-71136,,Πηγιανός Κάμπος,741 00,,,,
ΑΛΛΑΡΙΑ,,3,www.allaria.gr,allaria@otenet.gr,000-0000000,,Σταυρωμένος,740 52,,,,
ΑΛΜΠΑΤΡΟΣ,"


0.3 Χλμ
",5,www.albatros.gr,info@albatros.gr,28970-22144,28970-23250,Λιμένας Χερσονήσου,700 14,ΔΑΙΔΑΛΟΥ 1,,281-0228843,281-0223275
ΑΛΜΠΑΤΡΟΣ,"


0.2 Χλμ
",3,,info@hotel-albatros-chania.gr,28210-62548,28210-64044,Μάλεμε,730 14,ΜΑΛΕΜΕ ΧΑΝΙΩΝ,28210-62549,2821-089735,2821-064044
ΑΛΜΥΡΙΔΑ ΜΠΕΙ – ΚΟΛΠΟΣ ΑΛΜΥΡΙΔΑΣ,"


6 Χλμ
",3,,georgia_palioudaki@yahoo.gr,28250-31751,28250-31751,Αλμυρίδα,730 08,ΑΛΜΥΡΙΔΑ ΑΠΟΚΟΡ.ΧΑΝΙΩΝ,28250-31650,6974-998580,2825-031751
ΑΛΜΥΡΙΔΑ ΜΠΗΤΣ,"


3 Χλμ
",2,www.almyridabeach.com,info@almyridabeach.com,28250-32075,28250-32442,Αλμυρίδα,730 08,ΑΛΜΥΡΙΔΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,28250-32284,6974-589164,
ΑΛΜΥΡΙΔΑ ΜΠΗΤΣ ΙΙ,"


3 Χλμ
",4,www.almyridabeach.com,info@almyridabeach.com,28250-32075,28250-32442,Αλμυρίδα,730 08,ΑΛΜΥΡΙΔΑ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,28250-32284,6974-589164,
ΑΛΟΗ,,5,,info@aloesuites.gr,2825033331,,Αλμυρίδα,73008,,,,
ΑΛΤΙΣ,"


0.1 Χλμ
",2,,altis_malia@windowslive.com,28970-31757,28970-31779,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ,28970-31779,,
ΑΛΦΑ,"


5 Χλμ
",2,,alfaapart@yahoo.gr,28210-61112,28210-61034,Γεράνι,730 14,ΚΑΤΩ ΓΕΡΑΝΙ ΚΥΔΩΝ.ΧΑΝΙΩΝ,,2821-055270,2821-083402
ΑΛΩΝΙ ΣΟΥΪΤΕΣ,"


5 Χλμ
",2,www.alonisuites.gr,leftoula@otenet.gr,28210-39722,28210-39658,Χωραφάκια,731 00,ΧΩΡΑΦΑΚΙΑ ΧΑΝΙΩΝ ΚΡΗΤΗΣ,2821039228,2821-039430,
ΑΛΩΝΙΑ,"


24 Χλμ
",2,www.alonia-apartments.com,aloniaps@otenet.gr,28240-83058,28240-22543,Κολυμβάρι,730 06,ΣΚΟΥΤΕΛΩΝΑΣ,,,
ΑΜΑΖΟΝΕΣ ΒΙΛΛΑΣ,"


1 Χλμ
",3,www.amazoneshotels.com,amazonesreservations@gmail.com,28970 31488,28970 32392,Σταλίδα,700 14,ΣΤΑΛΙΣ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,28970 30190,2897030190,
ΑΜΑΖΟΝΕΣ ΒΙΛΛΑΤΖ,"


1 Χλμ
",4,www.amazoneshotels.com,amazonesreservations@gmail.com,28970-30190,28970-30191,Πισκοπιανό,700 14,ΠΙΣΚΟΠΙΑΝΟ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΑΜΑΛΘΕΙΑ,"


1.5 Χλμ
",4,www.amalthia-hotel.gr,info@amalthia-hotel.gr,28210-68542,28210-68004,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ ΚΡΗΤΗΣ,28210-68592,2821-042800,
ΑΜΑΛΘΕΙΑ,"


0.4 Χλμ
",1,,amalthia.rethymno@gmail.com,28310-23169,28310-50807,Ρέθυμνο,741 00,ΚΟΝΔΥΛΑΚΗ 55,,,
ΑΜΑΛΙΑ,,3,www.amalia-bali.gr,info@amalia-bali.gr,2834094364,,Μπαλί,74057,,,,
ΑΜΑΝΤΕΟΥΣ,,3,,xtzorakakis@gmail.com,000-0000000,28410-71425,Σίσι,724 00,ΣΙΣΙ ΛΑΣΗΘΙΟΥ,,,
ΑΜΑΡΙΛ,"


5 Χλμ
",1,www.amarilhotel.com,amarilhotel@gmail.com,6973779995,28310-56124,Ρέθυμνο,741 00,,2831056124,6973779995,28310561224
ΑΜΑΡΥΛΛΙΣ,,1,www.amaryllis-chania.gr,info@amaryllis-chania.gr,28210-68843,2821068843,Πλατανιάς,730 14,,2821028143,,
ΑΜΒΡΟΣΙΑ,"


1 Χλμ
",2,,,28970-31378,,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ,,2897-031716,
ΑΜΙΟΥΖ,"


0.5 Χλμ
",2,www.amusehotel.gr,reservationsamusehotel@gmail.com,28970-22006,28970-21528,Λιμένας Χερσονήσου,700 14,28ΗΣ ΟΚΤΩΒΡΙΟΥ 6,28970-23780,,
ΑΜΙΡΑΝΤΕΣ,"


2 Χλμ
",5,www.grecotel.gr,reservations.am@grecotel.com,28970-41103,28970-41113,Γούβες,700 14,ΓΟΥΒΕΣ ΗΡΑΚΛΕΙΟΥ,,,
ΑΜΜΟΣ,"


5 Χλμ
",2,www.ammoshotel.com,info@ammoshotel.com,6946009686,28210-31635,Δαράτσος,731 00,ΗΡΑΚΛΗ ΑΥΓΟΥΛΑ,28210-33025,2821-042362,2821-031635
ΑΜΜΟΣ,"


1 Χλμ
",2,www.ammosstudios.gr,info@ammosstudios.gr,28310-36123,28310-36125,Ρέθυμνο,741 00,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ 6,28310-36125,,
ΑΜΜΟΣ ΜΠΙΤΣ,"


0.2 Χλμ
",5,www.ammosbeachhotel.gr,manager@ammosbeachhotel.gr,28970-31366,28970-32384,Μάλια,700 07,,,6936-501759,2897-032384
ΑΜΜΟΥΔΑΡΑ ΜΠΙΤΣ,"


3 Χλμ
",1,,info@ammoudarabeach.gr,28410-28660,28410-28568,Αμμουδάρα,721 00,ΑΜΜΟΥΔΑΡΑ ΑΓ.ΝΙΚΟΛ.ΚΡΗΤΗΣ,28410-28568,2841-028568,
ΑΜΜΟΥΔΙ,"


15 Χλμ
",3,www.ammoudi.gr,ammoudi@otenet.gr,28320-31355,28320-31755,Λευκόγεια,740 60,ΛΕΥΚΩΓΕΙΑ ΡΕΘΥΜΝΗΣ,,2832-031355,2832-031755
ΑΜΝΙΣΣΟΣ,"


1 Χλμ
",3,www.amnissoshotel.com,info@amnissoshotel.com,28310-71502,28310-71524,Πηγιανός Κάμπος,741 00,ΠΗΓΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΗΣ,28310-71546,6974-152575,
ΑΜΟΥΝΤΑ ΜΠΕΪ,"


1.5 Χλμ
",4,,lambihotelreservation@gmail.com,2810-821915,2810-821918,Γάζι,714 14,ΓΑΖΙ ΑΜΜΟΥΔΑΡΑ ΗΡΑΚΛΕΙΟΥ,2810-821124,,
ΑΜΠΑΣΑΝΤΟΡ ΡΕΖΙΝΤΕΝΣ,,5,www.ambassadorsresidence.com,info@ambassadorsresidence.com,28216-00855,210-3312478,Χανιά,73132,ΑΚΤΗ ΤΟΜΠΑΖΗ 12-30,28216-00860,,
ΑΜΠΕΛΟΣ,"


0.2 Χλμ
",3,www.abelos.gr,popi@abelos.gr,28310-91595,28310-91595,Ρούστικα,740 58,,,6972-250791,
ΑΜΦΙΤΡΙΤΗ,"


6 Χλμ
",2,www.amphitritihotel-canea.gr,amphitritihotel.canea@gmail.com,28210-20170,28210-52980,Χανιά,731 00,ΛΙΘΙΝΩΝ 33,28210-20171,6977-607235,
ΑΜΦΟΡΑ,"


0.5 Χλμ
",4,www.amphora.gr,manolis@amphora.gr,6992160716,28210-93226,Χανιά,731 31,ΘΕΟΤΟΚΟΠΟΥΛΟΥ 20,,2821-093224,2821-093226
ΑΝΑΙΣ,"


3 Χλμ
",2,anais.gr,anaishotel@gmail.com,28210-33300,28210-31693,Δαράτσος,731 00,ΧΡΥΣΗ ΑΚΤΗ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝ,28210-32224,,
ΑΝΑΪΣ ΣΑΜΜΕΡ ΣΤΑΡ,,2,,anaishotel@gmail.com,2821033300,,Δαράτσος,731 00,,,,
ΑΝΑΙΣ ΧΟΛΙΝΤΕΥ,"


2 Χλμ
",2,,anaishotel@gmail.com,28210-33300,28210-31693,Δαράτσος,731 00,ΧΡΥΣΗ ΑΚΤΗ ΚΥΔ.ΧΑΝΙΩΝ,28210-32202,2821-028380,2821-027375
ΑΝΑΜΝΗΣΗ – ΜΕΜΟΡΥ,"


0.01 Χλμ
",4,www.memoryhotel.gr,web@memoryhotel.gr,28970-25583,28970-25432,Λιμένας Χερσονήσου,700 14,28ΗΣ ΟΚΤΩΒΡΙΟΥ 7,,6932434314,2102842025
ΑΝΑΣΣΑ,"


0.3 Χλμ
",2,www.anassa-crete.gr,info@anassa-crete.gr,28310-20918,28310-24514,Ρέθυμνο,741 00,ΧΑΤΖΗΓΡΗΓΟΡΑΚΗ 5,,6974-000020,2831-024514
ΑΝΑΣΤΑΣΙΑ,"


1 Χλμ
",3,www.anastasia-hotel.gr,info@anastasia-hotel.gr,28970-31180,28970-32168,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,28970-33749,2897033183,
ΑΝΑΣΤΑΣΙΑ ΣΠΙΤΙ ΤΩΝ ΚΟΥΡΗΤΩΝ,"


3.5 Χλμ
",3,www.kouritonhouse.gr,kouritonhouse@yahoo.gr,28310 55828,28310-55828,Τζαννακιανά,740 52,,28340 92350,2831055828,
ΑΝΑΤΟΛΗ,,2,,anatoliapts@gmail.com,2810-811017,2810-812091,Αγία Πελαγία,715 00,ΑΓΙΑ ΠΕΛΑΓΙΑ ΚΡΗΤΗΣ,6934332484,6934332484,
ΑΝΑΤΟΛΗ,"


5 Χλμ
",2,www.anatolibeach.gr,info@anatolibeach.gr,28250-61001,28250-61442,Παραλία Κουρνά-Καβρός,730 07,ΚΑΒΡΟΣ ΑΠΟΚΩΡΩΝΟΥ ΧΑΝΙΩΝ,28250-61497,2825-061497,2825-061442
ΑΝΑΤΟΛΙΑ,,3,,,2821181779,,Χανιά,73132,ΨΑΡΟΜΙΛΙΓΚΩΝ 1,,,
ΑΝΔΡΟΜΕΔΑ,"


0.2 Χλμ
",2,,,28310-58760,28310-56624,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,6970-423170,6970-423170,
ΑΝΕΜΗ,,1,www.anemihotel.net,info@anemihotel.net,28970-32127,,Μάλια,700 07,,,,
ΑΝΕΜΟΜΥΛΟΣ,,2,,mvlastos@teemail.gr,28970-31645,,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,,
ΑΝΕΜΟΣ ΜΕΓΑΛΟ ΠΟΛΥΤΕΛΕΣ ΘΕΡΕΤΡΟ,,5,www.anemosresort.gr,info@anemosresort.gr,2825061739,2825061594,Γεωργιούπολη,73007,,2825083024,,
ΑΝΕΣΗ,,4,www.anesea.gr,info@anesea.gr,28970-32666,2897033834,Μάλια,700 07,ΜΑΛΛΙΑ ΠΕΔΙΑΔ.ΗΡΑΚΛΕΙΟΥ,28970-31666,,
ΑΝΘΕΜΙΣ,,2,www.anthemis.gr,info@anthemis.gr,28210-73152,28210-39288,Σταυρός,731 00,ΣΤΑΥΡΟΣ ΧΑΝΙΩΝ,2821039288,,
ΑΝΘΙΜΟΣ,,2,,anthimosplatanias@gmail.com,28210-38120,28210-60344,Πλατανιάς,731 00,ΠΛΑΤΑΝΙΑΣ Ν.ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-38121,,
ΑΝΙΣΣΑ ΜΠΗΤΣ,"


4 Χλμ
",4,www.anissabeach.com,info@anissabeach.com,6970999044,28970-22619,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΧΕΡΣΟΝΗΣΟΥ ΚΡ.,28970-23264,6970999044,2897022619
ΑΝΙΤΑ,"


2 Χλμ
",3,,nvi@otenet.gr,28310-22928,28310-54922,Ρέθυμνο,741 00,ΑΥΣΤΡΑΛΩΝ ΠΟΛΕΜΙΣΤΩΝ 20,22928-054921,2831-022928,2831-054922
ΑΝΝΑ,"


3 Χλμ
",3,www.annahotelapts.com,info@annahotelapts.com,28310-22590,28310-24576,Ρέθυμνο,741 00,ΣΤΡΑΤΗΓΟΥ ΚΑΜΠΕΛ,,2831-024930,2831-024576
ΑΝΝΑ,"


0.5 Χλμ
",2,www.annahotel.biz,georgia_tr@hotmail.com,28970-22753,28970-21006,Λιμένας Χερσονήσου,700 14,ΕΛΕΥΘ. ΒΕΝΙΖΕΛΟΥ 148,,,
ΑΝΝΑ,"


15 Χλμ
",3,,kalamaam@yahoo.gr,2810-761691,2810-762278,Χάνι Κοκκίνη,715 00,ΚΟΚΚΙΝΙ ΧΑΝΙ ΗΡΑΚΛ.,2810-761916,281-0344879,281-0344879
ΑΝΝΑ ΑΓΓΕΛΙΚΗ,"


15 Χλμ
",2,,annayioukaki@yahoo.gr,28320-31877,28320-31866,Δαμνόνι,740 60,,,2832-032296,2832-031866
ΑΝΝΑ ΗΛΙΟΣ ΚΑΙ ΘΑΛΑΣΣΑ,"


10 Χλμ
",2,www.sea-sun.gr,info@sea-sun.gr,28410-61777,28410-61776,Καλό Χωριό,721 00,ΚΑΛΟ ΧΩΡΙΟ ΛΑΣΗΘΙΟΥ,210 4972512,,
ΑΝΝΑ ΜΑΡΙΑ,"


1 Χλμ
",1,www.annamariavillage.gr,info@annamariavillage.gr,2897024806,28970-24827,Ανισσαράς,700 14,ΦΡΟΥΔΙΑ,,6978482432,2810-244763
ΑΝΝΑ-ΜΑΡΙΑ,"


1 Χλμ
",1,www.annamaria.gr,annamaria-hotel@hotmail.com,28210-68217,28210-68751,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑ ΧΑΝΙΩΝ,28210-68751,2821-068751,2821-068751
ΑΝΝΙΚΟ,"


11 Χλμ
",2,annikohotel.info,hotelanniko@gmail.com,28210-60475,28210-60475,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΚΥΔΩΝ.ΧΑΝΙΩΝ,,,
ΑΝΟΙΞΗ,,2,,anixi_apartments@hotmail.com,28410-71477,,Σίσι,724 00,ΣΕΙΣΙ ΒΡΑΧΑΣ.ΛΑΣΗΘΙΟΥ,,,
ΑΝΟΙΞΗ-ΠΡΙΜΑΒΕΡΑ,"


2 Χλμ
",2,,,28970-31591,,Σταλίδα,700 07,ΑΓΙΑΣ ΕΙΡΗΝΗΣ 14,6945568579,6945568579,
ΑΝΤΑΜ’Σ,"


0.7 Χλμ
",1,www.adamsapts.gr,info@adamsapts.gr,28970-22928,28970-24476,Λιμένας Χερσονήσου,700 14,ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ 20,,,
ΑΝΤΖΕΛΑ,"


12 Χλμ
",2,www.angelasuites.com,manager@angelasuites.com,2841071121,2841071176,Σίσι,724 00,ΣΙΣΣΥ ΛΑΣΗΘΙΟΥ,,6976674099,
ΑΝΤΖΕΛΑ,,2,,angelaapts@gmail.com,2810-250660,2810-252686,Γάζι,714 14,ΠΑΣΗΦΑΗΣ 1,,,
